Award,Author
22,Meg Cabot
22,Hiromu Arakawa
20,James Patterson
20,Karen Kingsbury
19,Terry Pratchett
17,Erin Hunter
16,Christine Feehan
15,Charlaine Harris
14,Megan McDonald
13,Lemony Snicket
13,Bernard Cornwell
13,Jim Butcher
13,Neil Gaiman
13,Darren Shan
13,Stephen King
11,Margaret Peterson Haddix
11,Brian Jacques
11,Katie MacAlister
11,Kelley Armstrong
11,Catherine Anderson
11,Richelle Mead
11,Boris Akunin
11,Kate Brian
10,Rick Riordan
10,David Baldacci
10,P.C. Cast
10,J.D. Robb
10,Tamora Pierce
10,Nicholas Sparks
9,D.J. MacHale
9,James Rollins
9,Stephenie Meyer
9,Janet Evanovich
9,Arkas
9,Jodi Picoult
9,Cate Tiernan
8,Juliet Marillier
8,Ursula K. Le Guin
8,Nora Roberts
8,Jacqueline Carey
8,Sophie Kinsella
8,Nick Hornby
8,Andrea Camilleri
8,Suzanne Collins
8,Shannon Hale
8,Harlan Coben
8,Sharon Shinn
8,Saga Borg
8,Patricia Briggs
8,Dean Koontz
8,Eoin Colfer
8,Keri Arthur
7,Kathy Reichs
7,Louise Rennison
7,Paul Auster
7,Jasper Fforde
7,Cornelia Funke
7,John Flanagan
7,Lee Child
7,Robin Hobb
7,Karen Chance
7,Orson Scott Card
7,Terri Blackstock
7,Terry Brooks
7,Philippa Gregory
7,Rachel Caine
7,Nevada Barr
7,J.K. Rowling
7,Kim Harrison
7,Alexander McCall Smith
7,Ian Rankin
7,Scott Westerfeld
7,Brandon Sanderson
7,Douglas Preston
6,Daniel Abraham
6,Nalini Singh
6,Robert Jordan
6,Sarah Monette
6,Diana Gabaldon
6,John Grisham
6,Barbara Cleverly
6,Laura Anne Gilman
6,Tim LaHaye
6,Steven Saylor
6,Beverly Barton
6,Marjane Satrapi
6,Joyce Carol Oates
6,Ellen Hopkins
6,Tom Waters
6,Anne Bishop
6,Philip Roth
6,Chuck Klosterman
6,Conn Iggulden
6,Robin Jones Gunn
6,Emily Rodda
6,Sara Shepard
6,Amelia Atwater-Rhodes
6,Kai Meyer
6,George R.R. Martin
6,Karen      Rose
